Site,site_code,Date,Lat,Long,watershed,Watershed_Level,status,Turbidity,TSS,ChlA,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,DOC,DTN
Peterson Reservoir,PTRR,2021-07-14,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,NA,0,0.54,6.87,184.52,42.55,1.67,0.15,1.22,0.82,5.02,0.06,0.78,0.14,0,6.56,7.28,0.49
Barnes Meadow Outflow,BMD,2021-07-28,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,11,2.4,3.37,6.92,419.6,73.97,2.31,0.18,1.18,1.37,9.4,0.03,1.48,0.18,0,10.2,12.94,0.49
Barnes Meadow Reservoir,BRNR,2021-07-28,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,3.75,2.8,2.98,7.1,446.51,75.4,2.41,0.03,1.19,1.54,9.3,0.03,1.69,0.15,0,10.85,12.21,0.33
Chambers Inlet,CBRI,2021-07-28,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,3,0,0.42,7.12,388.51,47.2,1.64,0.03,0.64,1.08,5.73,0.04,0.48,0.18,0,2.79,6.8,0.18
Chambers Reservoir,CBRR,2021-07-28,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,3.5,0,1.74,7.28,328.11,41.75,1.37,0.03,0.64,0.95,5.38,0.05,0.45,0.09,0,3.09,6.25,0.15
Chambers Outflow,CHD,2021-07-28,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3.5,3,2.02,7.03,433.83,51.21,1.81,0.02,0.93,1.09,7.02,0.04,0.48,0.16,0,3.31,6.55,0.16
Peterson Outlet,PTRO,2021-07-28,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,5,0,0.17,7.02,208.61,44.99,1.68,0.06,1.29,0.82,5.85,0.01,0.74,0.02,0,6.55,9.11,0.53
Peterson Reservoir,PTRR,2021-07-28,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,6,0,0.44,6.92,183.99,40.5,1.63,0.08,1.08,0.73,4.73,0.03,0.72,0.01,0,6.33,9.62,0.46
Barnes Meadow Outflow,BMD,2021-08-04,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,11,2.51,3.75,6.96,432.13,68.75,2.32,0.25,1.2,1.1,7.19,0.05,1.72,0.3,0,10.41,13.22,0.59
Barnes Meadow Reservoir,BRNR,2021-08-04,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,5,NA,3.09,7.23,427.66,69.75,2.43,0.03,1.25,1.43,9.49,0.05,1.7,0.02,0,12.06,12.68,0.45
Chambers Inlet,CBRI,2021-08-04,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,3.25,NA,0.47,7.11,367.5,39.08,1.77,0.01,0.78,0.9,4.78,0.07,0.63,0.1,0,3.34,8.46,0.24
Chambers Reservoir,CBRR,2021-08-04,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,3.75,NA,2.53,7.17,295.52,34.22,1.34,0.01,0.75,0.72,4.07,0.07,0.43,0.01,0,3.31,7.56,0.32
Chambers Outflow,CHD,2021-08-04,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,4.75,5.1,1.72,6.99,392.59,47.02,1.58,0.04,0.91,1.05,6.23,0.07,0.54,0.03,0,3.17,7.35,0.22
Long Draw Road Tributary,LDRT1,2021-08-04,40.530046,-105.794982,CLP Tributary,NA,Burned,75,NA,NA,6.77,104.13,36.51,1.36,0.04,1.09,0.73,3.53,0.05,1.95,1.28,0,6.71,8.42,0.59
Peterson Outlet,PTRO,2021-08-04,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,4.5,NA,0.13,6.73,182,44.32,1.48,0.13,1.27,0.63,5.9,0.04,0.87,0.42,0,7.4,10.28,0.56
Peterson Reservoir,PTRR,2021-08-04,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,2.25,NA,0.22,6.79,186.58,35.13,1.56,0.12,1.27,0.62,4.05,0.05,0.77,0.17,0,6.89,9.76,0.5
Barnes Meadow Outflow,BMD,2021-08-11,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,15.5,2.88,8.58,6.94,464.18,72.7,2.57,0.3,1.31,1.52,7.56,0.07,1.75,0.13,0,10,12.58,0.64
Barnes Meadow Reservoir,BRNR,2021-08-11,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,4.5,NA,4.81,7.3,478.83,84.04,2.74,0.03,1.38,1.58,11.11,0.05,1.79,0.01,0,11.61,11.96,0.32
Chambers Inlet,CBRI,2021-08-11,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,2.5,1.5,0.35,7.18,385.95,48.79,1.79,0.04,0.78,1.22,6.56,0.09,0.57,0.06,0,3.24,6.77,0.38
Chambers Reservoir,CBRR,2021-08-11,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,4,NA,2.47,7.23,352.37,46.78,1.54,0.02,0.88,1.03,6.34,0.06,0.55,0.03,0,3.41,6.61,0.2
Chambers Outflow,CHD,2021-08-11,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3.5,NA,1.91,7.17,376.66,47.69,1.51,0.02,0.85,1.05,6.21,0.08,0.47,0.03,0,3.4,6.57,0.18
Peterson Outlet,PTRO,2021-08-11,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,4,2.6,0.61,6.84,187.25,41.24,1.62,0.11,1.35,0.59,5.37,0.04,0.79,0.28,0,6.69,9.62,0.59
