IDNo,Site,SiteDescr,SiteLabel,Date,SampleType,Turbidity,TSS,ChlA,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 382,Chambers Outflow,CHD_051721,CHD,17-May-21,NORM,3,8,,4.2,0.36,7.46,484.32,64.08,1.47,0.03,0.93,1.29,6.07,0.05,1.66,0.51,0.27,8.52
FCW 385,Poudre above Joe Wright,PJW_051721,PJW,17-May-21,NORM,2.5,8.91,,5.97,0.43,7.13,204.82,47.86,1.15,0.03,0.82,1.14,4.83,0.05,1.16,0.71,0.03,10.62
FCW 384,JWC-Joe Wright @ Aspen Glen Campground,JWC_051721,JWC,17-May-21,NORM,,,,7.79,0.3,7.46,462.82,88.69,2.37,0.01,1.02,1.64,7.61,0.05,4.42,0.04,0.03,19.48
FCW 388,Poudre Below Rustic,PBR_051721,PBR,17-May-21,NORM,,,,5.74,0.41,7.31,379.75,65.89,1.93,0.03,0.98,1.54,6.12,0.06,1.93,0.3,0.03,11.79
FCW 392,Poudre Above North Fork,PNF_051721,PNF,17-May-21,NORM,,,,6.34,0.39,7.48,489.53,73.92,2.21,0.02,0.98,1.74,6.96,0.12,2.92,0.39,0,11.07
FCW 390,Poudre Below S. Fork,PSF_051721,PSF,17-May-21,NORM,,,,6.21,0.37,7.36,383.2,65.93,1.85,0.02,0.97,1.59,6.18,0.08,1.98,0.28,0,11.25
FCW 389,Poudre South Fork,SFM_051721,SFM,17-May-21,NORM,,,,7.17,0.44,7.21,290.74,51.9,1.7,0.02,0.82,1.32,4.99,0.11,1.12,0.36,0.03,9.33
FCW 396,Barnes Meadow Outflow,BMD_052421,BMD,24-May-21,NORM,2.1,2,,7.59,0.48,6.89,491.76,84.37,2.43,0.1,1.25,1.65,10.52,0.03,1.54,0.24,0,12.67
FCW 394,Chambers Inlet,CBRI_052421,CBRI,24-May-21,NORM,1,1.98,,5.06,0.4,7.17,422.3,77.79,2.06,0.02,1.2,2.35,9.21,0.09,1.83,0.79,0.43,12.89
FCW 395,Chambers Outflow,CHD_052421,CHD,24-May-21,NORM,1.9,0,,4.62,0.45,7.18,443.67,64.14,1.97,0.02,0.92,2.02,7.22,0.09,1.02,0.52,0.28,10.45
FCW 398,Poudre Above Joe Wright,PJW_052421,PJW,24-May-21,NORM,1.5,4.1,,7.71,0.5,6.89,215.62,40.11,1.33,0.06,0.88,1.02,4.49,0.06,0.69,0.79,0,6.43
FCW 400,Poudre Below Rustic,PBR_052421,PBR,24-May-21,NORM,,,,5.98,0.4,7.07,319.19,59.85,2.07,0.08,1.06,1.51,6.39,0.06,1.39,0.49,0,8.12
FCW 404,Poudre Above North Fork,PNF_052421,PNF,24-May-21,NORM,,,,7.22,0.47,7.91,517.13,72.27,2.69,0.03,1.03,1.75,7.3,0.08,1.94,0.49,0,8.14
FCW 402,Poudre Below S. Fork,PSF_052421,PSF,24-May-21,NORM,,,,6.45,0.42,7.09,330.56,56.35,2.22,0.06,1.02,1.56,6.49,0.06,1.1,0.47,0,8.02
FCW 401,Poudre South Fork,SFM_052421,SFM,24-May-21,NORM,,,,8.34,0.42,7.02,263.62,44.81,2.05,0.04,0.85,1.23,4.89,0.09,0.74,0.43,0,6.67
